FONDO;CONCURSO;ANIO;CONTRATO;TITULO;FECHA_INICIO;FECHA_FIN;NOMBRE_SOLICITANTE;DISTRITO;PROVINCIA;DEPARTAMENTO;UBIGEO;MONTO_RNR;MONTO_FINANCIERO;MONTO_NO_FINANCIERO;MONEDA;FECHA_CORTE;;;;
FINCYT I;PIBAP;2009;021-FINCYT-PIBAP-2009;REGENERADOR DE TEJIDOS BLANDOS Y OSEOS CON TECNOLOGIA MEJORADA BASADA EN FACTORES FISICOS COMBINADOS;20090206;20120819;UNIVERSIDAD;SAN MIGUEL;LIMA;LIMA;150136;176345.69;5210;55390;SOLES;20230706;;;;
FINCYT I;PIBAP;2009;020-FINCYT-PIBAP-2009;EQUIPO TELEMEDICO DE SOPORTE DE VIDA PARA NEONATOS CRITICOS;20090206;20111230;UNIVERSIDAD;SAN MIGUEL;LIMA;LIMA;150136;400939.44;12150;232029.85;SOLES;20230706;;;;
FINCYT I;PIBAP;2009;027-FINCYT-PIBAP-2009;HISTORIA CLINICA AUTOMATIZADA CON APLICACIONES A LA ICTERICIA EXTRAHEPATICA;20090209;20130123;UNIVERSIDAD;LIMA;LIMA;LIMA;150101;397760.92;0;85575.51;SOLES;20230706;;;;
FINCYT I;PIBAP;2009;014-FINCYT-PIBAP-2009;ZONIFICACION AGRICOLA DE RIESGOS CLIMATICOS PARA CULTIVOS DE SEGURIDAD ALIMENTARIA Y AGROEXPORTACION EN LAS REGIONES DE AYACUCHO Y HUANCAVELICA;20090129;20121028;SERVICIO NACIONAL METEOROLOGIA E HIDROL.;JESUS MARIA;LIMA;LIMA;150113;401038.8;0;474699.5;SOLES;20230706;;;;
FINCYT I;PIBAP;2009;019-FINCYT-PIBAP-2009;SIMULADOR DE MARCHA CON ENTORNO VIRTUAL PARA TELEREHABILITACION DE PERSONAS CON LESIONES MOTORAS EN SUS MIEMBROS INFERIORES;20090206;20120705;UNIVERSIDAD;SAN MIGUEL;LIMA;LIMA;150136;402455.9;21000;356956;SOLES;20230706;;;;
FINCYT I;PIBAP;2009;040-FINCYT-PIBAP-2009;PLATAFORMA DE CALCULO ESTOCASTICO DE RUTAS OPTIMAS PARA TRANSPORTE PUBLICO Y PRIVADO;20090305;20120304;UNIVERSIDAD;AREQUIPA;AREQUIPA;AREQUIPA;40101;317884.68;0;13120;SOLES;20230706;;;;
FINCYT I;PIBAP;2009;023-FINCYT-PIBAP-2009;ESTANDARIZACIÃ“N DE UN EXTRACTO SECO PURIFICADO DE HOJAS UNCARIA TORMENTOSA (WILD.) DC. CULTIVADAS CLONALMENTE CON FINES DE FORMULACIÃ“N FARMACOLOGICA;20090204;20130129;UNIVERSIDAD;LA MOLINA;LIMA;LIMA;150114;400834.7;34400;688761;SOLES;20230706;;;;
FINCYT I;PIBAP;2009;028-FINCYT-PIBAP-2009;SISTEMA AUTOMATICO DE DIAGNOSTICO DE PARASITOS INTESTINALES  A TRAVES DE IMAGENES DIGITALES;20090209;20120108;UNIVERSIDAD;AREQUIPA;AREQUIPA;AREQUIPA;40101;403984;0;47708;SOLES;20230706;;;;
FINCYT I;PIBAP;2008;001-FINCYT-PIBAP-2008;EVALUACION DE FACTORES BIOQUIMICOS Y MOLECULARES PARA LA DETERMINACION DE BIOMARCADORES DE CARIES Y PERIODONTITIS. ;20080131;20101231;UNIVERSIDAD;LIMA;LIMA;LIMA;150101;68920;0;183244.37;SOLES;20230706;;;;
FINCYT I;PIBAP;2007;002-FINCYT-PIBAP-2007;MEJORA DE LA CALIDAD DE LA HARINA DE PLUMAS MEDIANTE PROCESAMIENTO CON ENZIMAS QUERATINASAS Y SU EVALUACIÃ“N EN LA ALIMENTACIÃ“N DE AVES Y TRUCHAS.;20071221;20111220;UNIVERSIDAD;LA MOLINA;LIMA;LIMA;150114;125102.26;0;18800;SOLES;20230706;;;;
FINCYT I;PIBAP;2008;002-FINCYT-PIBAP-2008;PROPUESTA TÃ‰CNICA DE CONFORT TÃ‰RMICO PARA VIVIENDAS EN COMUNIDADES LOCALIZADAS ENTRE 3000 Y 5000 MSNM;20080131;20101105;UNIVERSIDAD;RIMAC;LIMA;LIMA;150128;324064.5;38400;0;SOLES;20230706;;;;
FINCYT I;PIBAP;2007;003-FINCYT-PIBAP-2007;CREACION DE UNA PLANTA DE PRODUCCION DE BIOINSECTICIDAS PARA EL CONTROL DE MOSQUITOS CON LA PARTICIPACION DE LA COMUNIDAD;20071221;20110320;UNIVERSIDAD;SAN MARTIN DE PORRES;LIMA;LIMA;150135;475000;0;259973;SOLES;20230706;;;;
FINCYT I;PIBAP;2007;004-FINCYT-PIBAP-2007;"FINGERPRINT MOLECULAR\; PROPAGACION IN VITRO\; DETECCION Y LIMPIEZA VIRAL DE UVA PISQUERA";20071221;20110228;UNIVERSIDAD;SAN MARTIN DE PORRES;LIMA;LIMA;150135;472216;0;149956;SOLES;20230706;;;;
FINCYT I;PIBAP;2008;004-FINCYT-PIBAP-2008;DESARROLLO E INVESTIGACIÃ“N DE EMBEBIDOS (TIC) PARA APLICACIÃ“N DE AUTOMATIZACIÃ“N Y CONTROL DE BAJO COSTO PARA PEQUEÃ‘AS Y MEDIANAS INDUSTRIAS;20080131;20101226;UNIVERSIDAD;PIURA;PIURA;PIURA;200101;353889.47;27490.8;41928.42;SOLES;20230706;;;;
FINCYT I;PIBAP;2007;005-FINCYT-PIBAP-2007;"HACIA LA DOMESTICACIÃ“N DE LA VANILLA POMPONA (ORCHIDACEA) EN LOS HUMEDALES DE LA AMAZONA PERUANA FASE I: INVESTIGACIÃ“N EN ECOLOGIA\; QUMICA Y DESARROLLO AGROINDUSTRIAL EN CAMPO DE LABORATORIO";20071221;20101220;UNIVERSIDAD;SAN MIGUEL;LIMA;LIMA;150136;463734;6776;110610;SOLES;20230706;;;;
FINCYT I;PIBAP;2008;005-FINCYT-PIBAP-2008;"EFECTO QUIMIOPROTECTOR DE UN FITOMEDICAMENTO DE HOJAS DE PIPER ADUNCUM EN LCERA PÃ‰PTICA Y CÃNCER GÃSTRICO INDUCIDOS EN DIFERENTES MODELOS EXPERIMENTALES IN-VITRO\; IN-VIVO.";20080131;20111129;UNIVERSIDAD;LIMA;LIMA;LIMA;150101;268757;0;22080;SOLES;20230706;;;;
